GREAT_WARS_ENABLED_DESC;As grandes guerras foram descobertas.;Les Grandes Guerres sont découvertes.;Große Kriege sind bekannt;;;;;;;;;;;x
GREAT_WARS_DISABLED_DESC;Grandes guerras ainda não foram descobertas.;Les Grandes Guerres ne sont pas encore découvertes.;Große Kriege sind unbekannt;;;;;;;;;;;x
GREAT_WARS_ENABLE_DESC;Guerras podem obter status de grandes guerras;Des guerres peuvent obtenir le statut de Grandes Guerres;Kriege können sich zu einem Großen Krieg entwickeln;;;;;;;;;;;x
GREAT_WAR_NAME;A $ORDER$ Grande Guerra;La $ORDER$ Grande Guerre;Der $ORDER$Großer Krieg;;;;;;;;;;;x
GW_DISCOVERED_SETUP;Quando as grandes guerras foram descobertas.;Quand les Grandes Guerres sont découvertes.;Wenn Große Kriege möglich sind;;;;;;;;;;;x
GW_DISCOVERED_HEADER;Grandes Guerras descobertas!;Découverte des Grandes Guerres !;Große Kriege sind nun möglich;;;;;;;;;;;x
GW_DISCOVERED_1;Grandes Guerras descobertas!;Découverte des Grandes Guerres !;Große Kriege sind nun möglich!;;;;;;;;;;;x
GW_DISCOVERED_2;A partir de agora, cada guerra que incluir;Désormais, toute guerre impliquant;Von nun an, wird jeder Krieg, bei dem;;;;;;;;;;;x
GW_DISCOVERED_3;pelo menos dois grandes países;au moins deux grandes Nations;mindestens 2 Großmächte;;;;;;;;;;;x
GW_DISCOVERED_4;de cada lado, terá o status de;de chaque côté, obtient le statut de;sich auf jeder Seite befinden, den Status eines;;;;;;;;;;;x
GW_DISCOVERED_5;§YA Grande Guerra§!.;§YGrande Guerre§!.;§YGroßen Krieges§ haben!.;;;;;;;;;;;x
GW_DISCOVERED_6;*;*;*;;;;;;;;;;;x
GW_DISCOVERED_BTN1;OK;D'accord;OK;;;;;;;;;;;x
GW_DISCOVERED_BTN2;OK;D'accord;OK;;;;;;;;;;;x
GW_DISCOVERED_BTN3;Ir para;Voir;Gehe zu;;;;;;;;;;;x
GW_DISCOVERED_LOG;Grandes guerras descobertas;Découverte des Grandes Guerres;Große Kriege sind nun bekannt;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_SETUP;Quando nossa guerra ganha o status de Grande Guerra.;Quand notre guerre obtient le statut de Grande Guerre.;Wenn unser Krieg den Status eines Großen Krieges erreicht.;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_HEADER;Grande Guerra!;Grande Guerre !;Großer Krieg!;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_1;$WAR$;$WAR$;$WAR$;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_2;torna-se;devient;entwickelt sich zu;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_3;§YA Grande Guerra§!.;§YGrande Guerre§!.;§Yeinem Großen Krieg§!.;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_4;*;*;*;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_5;*;*;*;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_6;*;*;*;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN1;OK;D'accord;OK;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN2;OK;D'accord;OK;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_BTN3;Ir para;Voir;Gehe zu;;;;;;;;;;;x
WAR_GAIN_GW_STATUS_LOG;$WAR$ torna-se §YA Grande Guerra§!;$WAR$ devient une §YGrande Guerre§!.;$WAR$ entwickelt sich zu §Yeinem Großen Krieg§!;;;;;;;;;;;x
WAR_LOST_GW_STATUS_SETUP;Quando nossa guerra perde o status de Grande Guerra;Quand notre guerre perd le statut de Grande Guerre.;Wenn unser Krieg den Status eines Großen Krieges verliert;;;;;;;;;;;x
WAR_LOST_GW_STATUS_HEADER;Isso não é mais uma Grande Guerra!;Ce n'est plus une Grande Guerre !;Kein Großer Krieg mehr!;;;;;;;;;;;x
WAR_LOST_GW_STATUS_1;$WAR$;$WAR$;$WAR$;;;;;;;;;;;x
WAR_LOST_GW_STATUS_2;não é mais;n'est plus;is kein;;;;;;;;;;;x
WAR_LOST_GW_STATUS_3;Grande Guerra.;une Grande Guerre.;Großer Krieg mehr;;;;;;;;;;;x
WAR_LOST_GW_STATUS_4;*;*;*;;;;;;;;;;;x
WAR_LOST_GW_STATUS_5;*;*;*;;;;;;;;;;;x
WAR_LOST_GW_STATUS_6;*;*;*;;;;;;;;;;;x
