EVTDESC13000_NEWS_LONG;"Uma vez que o vento da civilização ocidental sopra para o leste, cada folha de grama e cada árvore no leste seguem o que o vento ocidental traz. Fora dos litorais do(a) $COUNTRY$, navios estranhos começaram a aparecer. Navios estranhos, com mastros tão altos que parecem tocar a face de Deus. Estranhos são esses navios, e ainda mais estranhos são os costumes que eles trazem, mas não pode haver dúvida de que uma política deve ser adotada com relação aos estrangeiros da ""Europa"".";;Wenn der Wind der westlichen Zivilisation im Osten weht, so wird jeder Grashalm und jeder Baum vom Geiste des Westens erfüllt. An den Küsten von $COUNTRY$ tauchen fremde Schiffe auf. Seltsame Schiffe mit Masten so hoch, als ob sie Gottes Antlitz berühren wollten. Zunächst eine Seltenheit, dann immer mehr und öfter, wie eine sanfte Brise, die sich zu einem Sturm auswächst – und morgen? Merkwürdig sind diese Schiffe, merkwürdiger noch ihre Waren und Gebräuche, und es besteht kein Zweifel, dass wir den Umgang mit den Fremden aus diesem 'Europa' erlernen müssen.;;;;;;;;;;;x;
EVTDESC13000_NEWS_MEDIUM;"Fora dos litorais do(a) $COUNTRY$, navios estranhos começaram a aparecer. Estranhos são esses navios e mais estranhos são os costumes que eles trazem, mas não pode haver dúvida de que uma política deve ser adotada com relação aos estrangeiros da ""Europa"".";;An den Küsten von $COUNTRY$ tauchen fremde Schiffe auf. Merkwürdig sind diese Schiffe, merkwürdiger noch ihre Waren und Gebräuche, und es besteht kein Zweifel, dass wir den Umgang mit den Fremden aus diesem 'Europa' erlernen müssen.;;;;;;;;;;;x;
EVTDESC13000_NEWS_SHORT;Estranho são esses navios, e mais estranhos são os costumes que eles trazem, mas não pode haver dúvida de que uma política deve ser adotada no(a) $COUNTRY$ com relação aos estrangeiros da 'Europa'.;;Merkwürdig sind diese Schiffe, merkwürdiger noch ihre Waren und Gebräuche, und es besteht kein Zweifel, dass wir in $COUNTRY$ den Umgang mit den Fremden aus diesem 'Europa' erlernen müssen.;;;;;;;;;;;x;
EVTDESC13100_NEWS_LONG;$COUNTRY$: Os estrangeiros foram longe demais! Seus missionários espalham ensinamentos falsos, subvertem nosso povo e nossa unidade nacional, quebram nossos costumes e seu ópio nubla nossas mentes.Pelo menos essa é a mensagem que você receberá se perguntar às pessoas no(a) $PROVINCENAME$ onde a xenofobia cresceu imensamente. O Posto de comércio exterior será removido do(a) $PROVINCENAME$ para descartar a influência prejudicial, e eles não poderão voltar a espalhar suas mentiras e seus venenos entre a população local.;;$COUNTRY$: Die Fremden sind zu weit gegangen! Ihre Missionare verbreiten falsche Lehren, die unser Volk und unsere nationale Einheit zerrütten, sie missachten unsere Gebräuche und ihr Opium vergiftet unseren Geist. So sehen es zumindest die Einwohner von $PROVINCENAME$, wo die Fremdenfeindlichkeit in den letzten Monaten weiter zunimmt. Der Außenhandelsposten in $PROVINCENAME$ wird entfernt, um den schädlichen Einfluss auszumerzen, und sie dürfen nicht zurückkehren, um ihre Lügen und ihr Gift unter der Bevölkerung zu verbreiten.;;;;;;;;;;;x;
EVTDESC13100_NEWS_MEDIUM;$COUNTRY$: Os estrangeiros foram longe demais! Seus missionários espalham ensinamentos falsos, subvertem nosso povo e nossa unidade nacional, eles quebram nossos costumes, e seu ópio nubla nossas mentes. A xenofobia cresceu imensamente no(a) $PROVINCENAME$.;;$COUNTRY$: Die Fremden gehen zu weit! Ihre Missionare verbreiten falsche Lehren, die unser Volk und unsere nationale Einheit zerrütten, sie missachten unsere Gebräuche und ihr Opium vergiftet unseren Geist. Die Fremdenfeindlichkeit hat in $PROVINCENAME$ immens zugenommen. ;;;;;;;;;;;x;
EVTDESC13100_NEWS_SHORT;$COUNTRY$: Os estrangeiros foram longe demais! Eles quebram nossos costumes e seu ópio nubla nossas mentes. A xenofobia cresceu imensamente no(a) $PROVINCENAME$.;;$COUNTRY$: Die Fremden gehen zu weit! Sie missachten unsere Gebräuche und ihr Opium vergiftet unseren Geist. Die Fremdenfeindlichkeit hat in $PROVINCENAME$ immens zugenommen. ;;;;;;;;;;;x;
EVTDESC13120_NEWS_LONG;A governanta européia contratada para educar a corte no(a) $COUNTRY$ parece estar indo muito bem em seu trabalho, mas ela tem introduzido algumas idéias bastante estranhas ao redor do local. Por exemplo, ela tem ensinado, em linguagem bastante dura, a idéia de que todos os homens são criados iguais e que o país deveria abolir a consagrada instituição da escravidão. Para os locais acostumados à escravidão durante séculos, isso pode soar como algo perigoso...;;Die für den Unterricht des Hofes in $COUNTRY$ angeheuerte, europäische Gouvernante macht ihre Arbeit anscheinend gut, auch wenn sie einige merkwürdige Ideen verbreitet. So vertritt sie mit recht barschen Worten die Idee, dass alle Menschen vor Gott gleich sind, und dass $COUNTRY$ die altbewährte Institution der Sklaverei aufgeben sollte. Für die seit Jahrhunderten an die Sklaverei gewöhnten Einwohner ein gefährlich anmutender Ansatz...;;;;;;;;;;;x;
EVTDESC13120_NEWS_MEDIUM;A governanta européia contratada para educar a corte no(a) $COUNTRY$ parece estar indo muito bem em seu trabalho, mas ela tem introduzido algumas idéias bastante estranhas ao redor do local. Por exemplo, ela tem ensinado, em linguagem bastante dura, a idéia de que todos os homens são criados iguais.;;Die für den Unterricht des Hofes in $COUNTRY$ angeheuerte, europäische Gouvernante macht ihre Arbeit anscheinend gut, auch wenn sie einige merkwürdige Ideen verbreitet. So vertritt sie mit recht barschen Worten die Idee, dass alle Menschen vor Gott gleich sind.;;;;;;;;;;;x;
EVTDESC13120_NEWS_SHORT;A governanta européia contratada para educar a corte no(a) $COUNTRY$ parece estar indo muito bem em seu trabalho, mas ela tem introduzido algumas idéias bastante estranhas ao redor do lugar.;;Die für den Unterricht des Hofes in $COUNTRY$ angeheuerte, europäische Gouvernante macht ihre Arbeit anscheinend gut, auch wenn sie einige merkwürdige Ideen verbreitet.;;;;;;;;;;;x;
EVTDESC13230_NEWS_LONG;$COUNTRY$: Vagar sozinho nas ruas do(a) $PROVINCENAME$ pode ser uma coisa perigosa, como um embaixador estrangeiro no Legation Quarter descobriu recentemente. Guardas relataram tê-lo encontrado morto às 4 da manhã, aparentemente vítima de um assalto, mas os estrangeiros acusam as autoridades locais de terem falhado em sua suposta responsabilidade de proteger seus diplomatas. As autoridades locais temem que mesmo um pedido formal de desculpas não seja suficiente para aplacá-las, no entanto, algo mais tangível pode...;;$COUNTRY$: Alleine in den Straßen von $PROVINCENAME$ zu wandeln, kann gefährlich sein, wie ein ausländischer Botschafter im Botschafts-Viertel herausfinden musste. Wachen fanden ihn um 4 Uhr morgens tot auf, scheinbar Opfer eines Überfalls. Ausländische Vertreter beschuldigen die lokale Administration, ihre Pflicht zum Schutz der Diplomaten vernachlässigt zu haben. Lokale Offizielle befürchten, dass eine formale Entschuldigung nicht ausreichen wird, um die Fremden zu besänftigen, vielleicht aber hilft ein materieller Versuch…;;;;;;;;;;;x;
EVTDESC13230_NEWS_MEDIUM;$COUNTRY$: Vagar sozinho nas ruas do(a) $PROVINCENAME$ pode ser uma coisa perigosa, como um embaixador estrangeiro no Legation Quarter descobriu recentemente. Guardas relatam tê-lo encontrado morto às 4 da manhã, aparentemente vítima de um assalto.;;$COUNTRY$: Alleine in den Straßen von $PROVINCENAME$ zu wandeln, kann gefährlich sein, wie ein ausländischer Botschafter im Botschafts-Viertel herausfinden musste. Wachen fanden ihn um 4 Uhr morgens tot auf, scheinbar Opfer eines Überfalls.;;;;;;;;;;;x;
EVTDESC13230_NEWS_SHORT;$COUNTRY$: Vagar sozinho nas ruas pode ser uma coisa perigosa, como um embaixador estrangeiro descobriu. Guardas relatam tê-lo encontrado morto às 4 da manhã, vítima de um assalto.;;$COUNTRY$: Alleine in den Straßen zu wandeln ist gefährlich, wie ein ausländischer Botschafter herausfand. Wachen fanden ihn um 4 Uhr morgens tot auf, scheinbar Opfer eines Überfalls.;;;;;;;;;;;x;
