JAN_reactionary;Partido da Batalha;;Strid Partiet;;;;;;;;x;;;
EXILED_DESC;Esta unidade está §Rexilada§!, porque ela está em tempo de paz e sem acesso militar em território estrangeiro. As unidades no exílio não podem participar de combate e têm visibilidade reduzida, mas podem marchar para casa em território estrangeiro. Mova esta unidade para uma das suas províncias para mudar o status!;;Esta unidade está localizada em §RExil§!, porque ela está em tempo de paz e sem acesso miliatr em território estrangeiro.As unidades no exílio não podem participar de combate e têm visibilidade reduzida, mas podem marchar para casa em território estrangeiro. Mova esta unidade para uma das suas províncias para mudar o status!;;;;;;;;x;;;
TWS_FULFILLED;Cumprido em $PERC$;;Erfüllt zu $PERC$;;;;;;;;x;;;
TWS_NOT_FULFILLED;§RNão cumprido§!;;§RNicht erfüllt§!;;;;;;;;x;;;
TICKING_WARSCORE_DESC_CURR;Atualmente $VAL$.;;Derzeit $VAL$.;;;;;;;;x;;;
UNIT_BORROWED;Esta unidade está temporariamente sob seu comando.;;Diese Einheit befindet sich zeitweilig unter unserem Kommando.;;;;;;;;x;;;
DISBAND_TOO_SMALL_UNIT;Dissolver brigadas sem pessoal;;Unterbesetzte Brigaden auflösen;;;;;;;;x;;;
DISBAND_TOO_SMALL_UNIT_DRO;Esta opção irá desmobilizar todas as brigadas que atualmente não são suportadas por uma população completa de soldados.;;Diese Option löst alle Brigaden auf, die nicht auf einer vollwertigen Soldaten-Bevölkerung basieren.;;;;;;;;x;;;
CONFIRM_DISBAND_TOO_SMALL_TITLE;Você quer dissolver todas as brigadas sem pessoal?;;Möchten sie alle unterbesetzten Brigaden auflösen?;;;;;;;;x;;;
CONFIRM_DISBAND_TOO_SMALL_DESC;Isso remove todas as brigadas que atualmente estão sendo reforçadas por uma população de soldados muito pequena. Você não precisa mais pagar nenhum custo de manutenção para eles e todos os soldados restantes nas brigadas retornam ao suprimento de mão-de-obra.;;Dies entfernt alle Brigaden, die gegenwärtig von einer zu kleinen Soldaten Bevölkerung verstärkt werden. Sie müssen keine Instandhaltungskosten mehr für sie bezahlen und alle in den Brigaden verbleibenden Soldaten kommen in den Mannstärke-Vorrat zurück.;;;;;;;;x;;;
MODIFIER_RESEARCH_POINTS_ON_CONQUER;Bônus de Pontos de Pesquisa por Conquista;;Forschungspunkte Bonus durch Eroberung;;;;;;;;x;;;
colonial_negotiations;Negociações coloniais;;Koloniale Verhandlungen;;;;;;;;x;;;
colonial_negotiations_desc;"Aconteça o que acontecer, temos \nA arma máxima, e eles não têm'\n\n As metralhadoras permitiram que os exércitos devastassem forças inimigas, uma habilidade que era especialmente útil quando se tratava de derrotar nações ""não civilizadas"" que se opunham a serem colonizadas.";;Was auch immer passiert, wir haben das \nThe Maxim-Maschinengewehr, und die nicht'\n\n Die Verwendung von Maschinengewehren ermöglichte es Armeen feindliche Massenangriffe anzuwehren, eine Fähigkeit die besonders gegen die 'unzivilisierte' Nationen wirksam war, welche sich kolonialen Ansprüchen widersetzten.;;;;;;;;x;;;
PRODUCTION_BONUS_POSSIBLE;Possível bônus de:;;Mögliche Boni durch:;;;;;;;;x;;;
COLONIZE_PHASE_INITIAL_INTEREST;Envie expedição;;Expedition entsenden;;;;;;;;x;;;
COLONIZE_PHASE_INITIAL_INTEREST_DESC;O primeiro passo para influenciar uma área é enviar uma expedição. Se não for contestado em §Y$DAYS$§! dias, permitirá que você crie um protetorado;;Der erste Schritt um Einfluss in einer Region zu erlangen ist das Entsenden einer Expedition. Falls keine andere Nation innerhalb von §Y$DAYS$§! Tagen ebenfalls Interesse anmeldet, können wir sofort ein Protektorat errichten.;;;;;;;;x;;;
INITIAL_COLONIZE_DEFAULT_TIME;Se ninguém competir com sua expedição por §Y$DATE$§! poderemos criar um protetorado;;Wenn keine andere Nation bis zum §Y$DATE$§! mit unserer Expedition konkurriert, können wir sofort ein Protektorat errichten.;;;;;;;;x;;;
COUNTRYALERT_ColonialGood_protectorate;§GPodemos criar um protetorado em §!§Y$REGION$§!;;§GWir können ein Protektorat in §!§Y$REGION$§ errichten!;;;;;;;;x;;;
COUNTRYALERT_ColonialGood_colony;§GNós podemos criar uma colônia em §!§Y$REGION$§!;;§GWir können eine Kolonie in §!§Y$REGION$§ errichten!;;;;;;;;x;;;
COUNTRYALERT_ColonialGood_state;§GNós podemos criar um estado em §!§Y$REGION$§!;;§GWir können einen Nationalstaat §!§Y$REGION$§! Gründen!;;;;;;;;x;;;
COUNTRYALERT_ColonialBad_colonizationtimer;§RPrecisamos criar um protetorado em §!§Y$REGION$§!§R antes de §Y$DATE$§!§R ou o perderemos.§!;;§RWir müssen ein Protektorat in §!§Y$REGION$§!§R vor dem §Y$DATE$§!§R errichten oder wir werden diese Region verlieren.§!;;;;;;;;x;;;
COUNTRYALERT_ColonialBad_influence;§REstamos perdendo a corrida em §!§Y$REGION$§!;;§RWir verlieren den Wettlauf um §!§Y$REGION$§!;;;;;;;;x;;;
